model,neighborhood_size,x,similarity_function,MAE
item_based,30,0.8,pure_cosine,0.818646383
item_based,30,0.8,corr,0.898281115
item_based,30,0.9,pure_cosine,0.815782113
item_based,30,0.8,adjusted_cosine,
item_based,10,0.8,pure_cosine,0.862525671
item_based,20,0.8,pure_cosine,0.828567135
item_based,60,0.8,pure_cosine,0.817475003
item_based,90,0.8,pure_cosine,0.823312181
item_based,125,0.8,pure_cosine,0.829944534
item_based,200,0.8,pure_cosine,0.838723243
item_based,30,0.5,pure_cosine,0.843537127
item_based,30,0.2,pure_cosine,0.866666947
item_based,45,0.8,pure_cosine,0.815934856
item_based,75,0.8,pure_cosine,0.819999274
item_based,105,0.8,pure_cosine,0.826300038
item_based,150,0.8,pure_cosine,0.833912472
item_based,175,0.8,pure_cosine,0.836786798
item_based,30,0.3,pure_cosine,0.857355471
item_based,30,0.4,pure_cosine,0.852133081
item_based,30,0.6,pure_cosine,0.8351647
item_based,30,0.7,pure_cosine,0.829543191
item_regression,30,0.8,pure_cosine,0.897194455
item_regression,30,0.8,corr,1.175632477
item_regression,200,0.9,pure_cosine,0.730807198
item_regression,30,0.8,adjusted_cosine,
item_regression,10,0.8,pure_cosine,0.86500721
item_regression,20,0.8,pure_cosine,0.886326923
item_regression,60,0.8,pure_cosine,0.829480656
item_regression,90,0.8,pure_cosine,0.777233938
item_regression,125,0.8,pure_cosine,0.741616611
item_regression,200,0.8,pure_cosine,0.728783215
item_regression,200,0.5,pure_cosine,0.751947254
item_regression,200,0.2,pure_cosine,0.884560067
item_regression,45,0.8,pure_cosine,0.858633696
item_regression,75,0.8,pure_cosine,0.808235633
item_regression,105,0.8,pure_cosine,0.759245263
item_regression,150,0.8,pure_cosine,0.732828334
item_regression,175,0.8,pure_cosine,0.73060117
item_regression,200,0.3,pure_cosine,0.790305413
item_regression,200,0.4,pure_cosine,0.764211037
item_regression,200,0.6,pure_cosine,0.74083102
item_regression,200,0.7,pure_cosine,0.738666976
nonper,30,0.9,pure_cosine,0.80784775
nonper,10,0.8,pure_cosine,0.81180984
nonper,20,0.8,pure_cosine,0.81180984
nonper,30,0.8,pure_cosine,0.81180984
nonper,60,0.8,pure_cosine,0.81180984
nonper,90,0.8,pure_cosine,0.81180984
nonper,125,0.8,pure_cosine,0.81180984
nonper,200,0.8,pure_cosine,0.81180984
nonper,30,0.5,pure_cosine,0.836427745
nonper,30,0.2,pure_cosine,0.818388282
nonper,45,0.8,pure_cosine,0.81180984
nonper,75,0.8,pure_cosine,0.81180984
nonper,105,0.8,pure_cosine,0.81180984
nonper,150,0.8,pure_cosine,0.81180984
nonper,175,0.8,pure_cosine,0.81180984
nonper,30,0.3,pure_cosine,0.827360644
nonper,30,0.4,pure_cosine,0.824235308
nonper,30,0.6,pure_cosine,0.814748751
nonper,30,0.7,pure_cosine,0.814181296
user_based,30,0.8,pure_cosine,0.803625913
user_based,30,0.8,corr,0.864628585
user_based,30,0.9,pure_cosine,0.798140543
user_based,30,0.8,adjusted_cosine,
user_based,10,0.8,pure_cosine,0.821496231
user_based,20,0.8,pure_cosine,0.807177003
user_based,60,0.8,pure_cosine,0.805024368
user_based,90,0.8,pure_cosine,0.807095985
user_based,125,0.8,pure_cosine,0.81005864
user_based,200,0.8,pure_cosine,0.813576567
user_based,30,0.5,pure_cosine,0.81751024
user_based,30,0.2,pure_cosine,0.851058959
user_based,45,0.8,pure_cosine,0.8172466
user_based,75,0.8,pure_cosine,0.815284629
user_based,105,0.8,pure_cosine,0.814758647
user_based,150,0.8,pure_cosine,0.814617369
user_based,175,0.8,pure_cosine,0.814630921
user_based,30,0.3,pure_cosine,0.850009372
user_based,30,0.4,pure_cosine,0.846744803
user_based,30,0.6,pure_cosine,0.823836852
user_based,30,0.7,pure_cosine,0.824397728
